startup,industry,subvertical,city,investors,round,amount,date,year,month
Postman,EdTech,Test Prep,Chennai,Ventures India,Series A,105.96,2023-01-10,2023,1
NimbusMart,Logistics,Last Mile,Ahmedabad,"IFC, Matrix Partners India, Zodius Capital",Seed,14.0,2023-05-09,2023,5
HomeAnalytics,Logistics,Last Mile,Noida,"Info Edge, LCatterton, Ribbit Capital",Bridge,12.13,2024-12-06,2024,12
NimbusLabs_243,SaaS,MarTech,Noida,"Nexus Venture Partners, Y Combinator",Seed,1.63,2022-05-02,2022,5
FarmBox,EdTech,UpSkilling,Delhi,A91 Partners,Series C,173.1,2025-02-16,2025,2
SkillRise,HealthTech,Health Analytics,Gurugram,"Accel, Info Edge, Y Combinator",Seed,12.74,2021-11-07,2021,11
FinFoods_246,FoodTech,Grocery,Ahmedabad,Blume Ventures,Series A,26.46,2024-11-24,2024,11
GreenEdge,Enterprise,Security,Hyderabad,Peak XV,Bridge,14.68,2020-02-01,2020,2
Housejoy,Media,Content,Gurugram,Kalaari Capital,Series B,600.29,2023-12-12,2023,12
MediWorks,Retail,Grocery,Chennai,SoftBank Vision Fund,Series A,83.61,2023-08-21,2023,8
ShareChat,Mobility,EV,Kolkata,"SoftBank Vision Fund, Ventures India",Seed,1.23,2024-01-19,2024,1
CoreFlow,FoodTech,Cloud Kitchen,Ahmedabad,Sequoia Capital India,Growth,1146.62,2024-02-27,2024,2
SkillRise,EdTech,UpSkilling,Gurugram,Mirae Asset,Pre-Series A,5.89,2024-09-02,2024,9
BlueSpace,Enterprise,Security,Kolkata,Blume Ventures,Series A,19.58,2024-02-09,2024,2
NeoLabs,Mobility,Micro Mobility,Bengaluru,Peak XV,Series A,13.13,2024-09-14,2024,9
Postman,Retail,E-Retail,Chennai,Tiger Global,Seed,3.24,2023-07-15,2023,7
WorkPay_256,Mobility,EV,Pune,"LCatterton, Peak XV, Prosus Ventures",Seed,13.11,2023-07-30,2023,7
PhonePe,FinTech,NeoBank,Noida,"Falcon Edge, Kedaara Capital",Pre-Series A,4.13,2020-02-04,2020,2
SmartTech_258,Enterprise,Automation,Chennai,Accel,Series C,777.24,2025-02-06,2025,2
Wakefit,Mobility,Ride Sharing,Gurugram,Zodius Capital,Seed,0.6,2022-12-14,2022,12
NextStack,E-commerce,D2C,Chennai,"IFC, Lightspeed India, Prosus Ventures",Series A,43.89,2021-05-13,2021,5
GreenMart,FoodTech,Food Delivery,Noida,Kedaara Capital,Series A,121.19,2023-07-28,2023,7
WorkFit,FoodTech,Grocery,Pune,LCatterton,Series A,12.13,2024-10-23,2024,10
Razorpay,EdTech,K12,Ahmedabad,Prosus Ventures,Series A,33.78,2020-04-05,2020,4
QuantumSolutions,AgriTech,Marketplace,Bengaluru,Sequoia Capital India,Seed,10.56,2024-10-07,2024,10
FarmTech,Retail,Fashion,Chennai,A91 Partners,Angel,0.38,2021-09-04,2021,9
UrbanDrive,Mobility,EV,Chennai,"Falcon Edge, Kedaara Capital, Tiger Global Management",Series C,1096.13,2020-10-13,2020,10
Udaan,E-commerce,Fashion,Gurugram,"Peak XV, Ventures India",Series D,2091.86,2021-11-28,2021,11
AutoMart,SaaS,B2B SaaS,Hyderabad,"A91 Partners, Lightspeed India",Series C,439.44,2022-07-11,2022,7
UrbanSolutions,RealEstate,Rental Tech,Chennai,Bessemer Venture Partners,Seed,1.23,2023-06-20,2023,6
Groww,E-commerce,D2C,Delhi,"Blume Ventures, Kalaari Capital, Y Combinator",Pre-Series A,5.35,2024-05-24,2024,5
Bounce,FinTech,WealthTech,Kolkata,Nexus Venture Partners,Pre-Series A,5.36,2021-07-06,2021,7
DataEdge,Mobility,Micro Mobility,Noida,Y Combinator,Pre-Series A,6.11,2020-02-23,2020,2
Bounce,AgriTech,Marketplace,Pune,Kalaari Capital,Growth,4621.02,2020-01-26,2020,1
WorkFit,Mobility,Ride Sharing,Ahmedabad,"Blume Ventures, Matrix Partners India",Series A,33.15,2023-11-04,2023,11
NextStack,E-commerce,Marketplace,Chennai,"Bessemer Venture Partners, Y Combinator",Seed,2.64,2021-09-05,2021,9
LogiMart,Consumer Electronics,Smart Home,Ahmedabad,Elevation Capital,Seed,7.88,2020-08-07,2020,8
AutoMart,AgriTech,Smart Farming,Pune,"Nexus Venture Partners, SoftBank Vision Fund, Tiger Global Management",Series A,48.25,2022-05-31,2022,5
CloudPay,HealthTech,Health Analytics,Pune,"A91 Partners, Matrix Partners India, Mirae Asset",Seed,5.53,2023-11-24,2023,11
UrbanSolutions,Retail,Grocery,Pune,Omidyar Network,Seed,7.82,2023-02-28,2023,2
BlueTech,Mobility,Ride Sharing,Kolkata,"Bessemer Venture Partners, Zodius Capital",Bridge,11.06,2021-03-05,2021,3
CRED,Enterprise,Security,Kolkata,Matrix Partners India,Seed,1.44,2021-09-12,2021,9
HyperLoop,Retail,Grocery,Mumbai,"Falcon Edge, Omidyar Network",Series A,22.95,2023-05-09,2023,5
QuantumDrive,Retail,Grocery,Noida,Accel,Series A,10.71,2025-02-15,2025,2
LogiMart,SaaS,DevTools,Ahmedabad,"Ribbit Capital, SoftBank Vision Fund, Tiger Global Management",Pre-Seed,0.63,2023-08-14,2023,8
Paytm,E-commerce,Quick Commerce,Mumbai,"A91 Partners, Falcon Edge, Omidyar Network",Seed,0.47,2022-11-11,2022,11
EduMart,Consumer Electronics,Smart Home,Ahmedabad,Tiger Global Management,Series B,150.9,2020-11-04,2020,11
AgriHive,FoodTech,Cloud Kitchen,Mumbai,Y Combinator,Series D,1447.74,2024-02-04,2024,2
DataHive,EdTech,Coding Bootcamp,Pune,"Elevation Capital, Kedaara Capital, SoftBank Vision Fund",Series A,18.04,2022-06-16,2022,6
Porter,FinTech,WealthTech,Mumbai,"Blume Ventures, Matrix Partners India",Series B,213.54,2020-12-02,2020,12
DriveLoop,EdTech,Coding Bootcamp,Delhi,"Kalaari Capital, Ventures India",Seed,0.46,2023-09-08,2023,9
BlueRise,FoodTech,Food Delivery,Bengaluru,Ventures India,Series B,46.03,2021-02-25,2021,2
Byju's,AgriTech,Supply Chain,Noida,Info Edge,Seed,8.63,2021-10-29,2021,10
CureFit,RealEstate,Home Services,Noida,Kalaari Capital,Bridge,1.57,2021-10-03,2021,10
Porter,SaaS,HRTech,Kolkata,"Elevation Capital, Kedaara Capital, Omidyar Network",Series A,11.71,2024-07-24,2024,7
WorkFit,SaaS,B2B SaaS,Gurugram,Kedaara Capital,Seed,2.85,2021-01-09,2021,1
UrbanDrive,HealthTech,Health Analytics,Chennai,"Kedaara Capital, Ribbit Capital",Seed,7.1,2023-07-25,2023,7
NoBroker,Mobility,Ride Sharing,Kolkata,Zodius Capital,Seed,0.92,2021-01-18,2021,1
Udaan,Enterprise,Security,Bengaluru,"Falcon Edge, Tiger Global Management",Series A,44.84,2021-02-03,2021,2
NimbusLabs,Consumer Electronics,Wearables,Kolkata,"Sequoia Capital India, Ventures India",Series A,10.46,2020-06-18,2020,6
Cars24,FinTech,WealthTech,Gurugram,"A91 Partners, Bessemer Venture Partners",Series A,9.54,2020-12-10,2020,12
NimbusLabs,E-commerce,Grocery,Mumbai,A91 Partners,Seed,2.95,2023-01-17,2023,1
Razorpay,Retail,Fashion,Kolkata,Ventures India,Series A,35.89,2022-05-20,2022,5
LogiMart,FinTech,InsurTech,Hyderabad,Info Edge,Seed,4.36,2024-07-30,2024,7
Housejoy,Retail,E-Retail,Gurugram,"Kedaara Capital, Ribbit Capital, Y Combinator",Series C,1185.93,2023-04-19,2023,4
Dream11,AgriTech,Supply Chain,Gurugram,A91 Partners,Series C,2332.38,2024-07-07,2024,7
QuantumSolutions,HealthTech,Pharmacy,Hyderabad,"Prosus Ventures, Tiger Global Management",Seed,2.79,2021-07-01,2021,7
Wakefit,HealthTech,Health Analytics,Bengaluru,"IFC, Matrix Partners India, Nexus Venture Partners",Debt,6.18,2024-11-10,2024,11
AgriSense,Retail,Fashion,Chennai,"Info Edge, Kalaari Capital, Matrix Partners India",Series A,71.5,2023-03-28,2023,3
Bounce,FoodTech,Grocery,Hyderabad,Info Edge,Series B,87.94,2024-12-01,2024,12
Myntra,SaaS,B2B SaaS,Mumbai,"Prosus Ventures, Tiger Global, Y Combinator",Series B,140.16,2022-07-27,2022,7
AutoMart,FoodTech,Cloud Kitchen,Kolkata,SoftBank Vision Fund,Seed,0.56,2024-08-23,2024,8
LogiSense,Consumer Electronics,Wearables,Bengaluru,"Peak XV, Sequoia Capital India",Pre-Seed,0.17,2023-07-06,2023,7
NextSense,FinTech,InsurTech,Gurugram,IFC,Debt,329.03,2025-02-05,2025,2
Oyo,HealthTech,Pharmacy,Mumbai,Y Combinator,Series B,421.37,2021-05-27,2021,5
Dream11,FinTech,InsurTech,Hyderabad,Info Edge,Series B,285.82,2024-03-26,2024,3
Bounce,Media,Social,Bengaluru,Omidyar Network,Seed,1.88,2020-06-08,2020,6
Ola,FinTech,Payments,Pune,"Kedaara Capital, Mirae Asset",Series C,265.41,2024-10-27,2024,10
HomeFoods,Media,Social,Mumbai,Nexus Venture Partners,Seed,0.74,2024-12-09,2024,12
HyperSpace,RealEstate,PropTech,Mumbai,"Info Edge, Ribbit Capital",Series A,16.34,2020-01-18,2020,1
Meesho,RealEstate,Rental Tech,Delhi,"Info Edge, LCatterton, Lightspeed India",Angel,0.22,2023-06-15,2023,6
FinSense,AgriTech,Marketplace,Chennai,Bessemer Venture Partners,Pre-Series A,4.3,2022-05-29,2022,5
LogiMart,E-commerce,Marketplace,Noida,"Elevation Capital, Peak XV",Series A,49.61,2024-01-16,2024,1
GrowthFlow,RealEstate,Home Services,Gurugram,Ventures India,Series A,17.71,2022-11-09,2022,11
Urban Company,RealEstate,PropTech,Gurugram,Mirae Asset,Series A,110.17,2020-08-18,2020,8
Groww,Mobility,Ride Sharing,Pune,"A91 Partners, IFC",Angel,0.38,2020-09-27,2020,9
Mobikwik,Mobility,Micro Mobility,Delhi,Sequoia Capital India,Series C,744.87,2025-05-08,2025,5
CRED,FinTech,WealthTech,Gurugram,"Falcon Edge, Ribbit Capital",Pre-Seed,0.68,2020-05-03,2020,5
AeroAnalytics,FoodTech,Grocery,Chennai,"Elevation Capital, Ribbit Capital",Seed,1.95,2023-01-03,2023,1
FreshTech_329,EdTech,K12,Noida,"Ribbit Capital, Ventures India",Seed,1.04,2023-04-16,2023,4
FreshTech,Media,Social,Bengaluru,"Nexus Venture Partners, Omidyar Network",Seed,1.54,2025-03-08,2025,3
NimbusMart,Media,Streaming,Delhi,Kedaara Capital,Seed,6.8,2023-12-20,2023,12
BharatPe,Consumer Electronics,Wearables,Noida,"Matrix Partners India, Ventures India, Y Combinator",Series A,8.63,2024-08-11,2024,8
NextStack,E-commerce,Quick Commerce,Pune,"Kedaara Capital, Tiger Global",Series C,227.31,2021-07-11,2021,7
Dunzo,Consumer Electronics,Wearables,Noida,Blume Ventures,Pre-Series A,0.92,2022-10-20,2022,10
Zomato,AgriTech,Marketplace,Mumbai,Tiger Global,Seed,0.48,2022-11-08,2022,11
UrbanStack,Consumer Electronics,Wearables,Chennai,A91 Partners,Angel,0.54,2021-01-01,2021,1
QuantumDrive,EdTech,Coding Bootcamp,Pune,"Falcon Edge, Y Combinator",Seed,5.56,2020-06-08,2020,6
Udaan,HealthTech,Diagnostics,Noida,"Mirae Asset, Tiger Global",Debt,15.8,2025-05-07,2025,5
HealthAnalytics,Logistics,Supply Chain,Mumbai,Lightspeed India,Series A,10.81,2020-01-17,2020,1
Oyo,Media,Streaming,Gurugram,"Bessemer Venture Partners, Tiger Global Management",Series A,31.42,2023-04-26,2023,4
HomeMart,FoodTech,Cloud Kitchen,Gurugram,"IFC, Peak XV, Sequoia Capital India",Series A,29.92,2023-07-26,2023,7
UrbanSolutions,Media,Content,Mumbai,"Mirae Asset, Tiger Global",Seed,0.79,2021-05-02,2021,5
SmartCare,E-commerce,Quick Commerce,Gurugram,"Kedaara Capital, Y Combinator",Angel,0.15,2022-11-30,2022,11
WorkFit,Mobility,Ride Sharing,Chennai,Info Edge,Seed,1.8,2023-03-08,2023,3
LogiSense,Logistics,Supply Chain,Chennai,SoftBank Vision Fund,Series B,228.88,2024-02-15,2024,2
SkillFlow,EdTech,K12,Ahmedabad,Info Edge,Seed,4.32,2020-08-04,2020,8
HyperLabs,Mobility,EV,Gurugram,IFC,Series A,9.39,2022-08-06,2022,8
Bounce,HealthTech,Pharmacy,Ahmedabad,Nexus Venture Partners,Pre-Seed,0.39,2024-09-07,2024,9
LogiMart,FoodTech,Grocery,Bengaluru,Sequoia Capital India,Series B,235.32,2021-06-16,2021,6
CoreConnect,Mobility,Micro Mobility,Noida,Bessemer Venture Partners,Seed,2.66,2022-08-04,2022,8
FinSense,FinTech,Lending,Delhi,Prosus Ventures,Seed,9.78,2022-03-31,2022,3
WorkFit,Logistics,Last Mile,Bengaluru,"Info Edge, LCatterton, Nexus Venture Partners",Debt,49.76,2021-02-08,2021,2
FreshBox,Consumer Electronics,Audio,Delhi,"Kalaari Capital, Prosus Ventures, Sequoia Capital India",Angel,0.07,2022-06-06,2022,6
NoBroker,SaaS,DevTools,Delhi,Sequoia Capital India,Seed,0.54,2022-07-02,2022,7
HomeMart,Consumer Electronics,Wearables,Noida,Y Combinator,Series A,47.28,2020-06-28,2020,6
QuantumDrive,Retail,Fashion,Gurugram,"Bessemer Venture Partners, Tiger Global Management",Series B,44.66,2024-06-30,2024,6
Licious,Consumer Electronics,Smart Home,Kolkata,"Elevation Capital, SoftBank Vision Fund",Seed,3.6,2023-03-04,2023,3
GrowthFlow,EdTech,Test Prep,Hyderabad,"Omidyar Network, Y Combinator",Seed,13.31,2022-08-24,2022,8
PharmEasy,HealthTech,Telemedicine,Gurugram,"LCatterton, Zodius Capital",Series B,204.64,2021-06-29,2021,6
NimbusMart,EdTech,Coding Bootcamp,Pune,Blume Ventures,Angel,0.13,2024-09-27,2024,9
FoodLoop,Media,Content,Ahmedabad,Peak XV,Pre-Seed,0.73,2023-12-05,2023,12
SmartCare,EdTech,Coding Bootcamp,Noida,Accel,Seed,2.25,2022-10-01,2022,10
PharmEasy,AgriTech,Supply Chain,Bengaluru,LCatterton,Series A,36.37,2020-01-02,2020,1
CloudPay,SaaS,DevTools,Pune,"Kedaara Capital, Nexus Venture Partners",Seed,13.38,2020-10-29,2020,10
FreshToHome,Enterprise,Automation,Pune,"Accel, Kalaari Capital, Peak XV",Bridge,1.73,2022-02-04,2022,2
Oyo,SaaS,DevTools,Delhi,"Blume Ventures, Peak XV, Ribbit Capital",Series B,596.26,2022-06-13,2022,6
Licious,EdTech,K12,Chennai,Nexus Venture Partners,Seed,11.71,2023-11-11,2023,11
Rapido,Media,Streaming,Chennai,"Omidyar Network, Sequoia Capital India",Series D,651.38,2024-04-27,2024,4
HomeAnalytics,E-commerce,Fashion,Delhi,Y Combinator,Seed,0.54,2020-06-08,2020,6
FoodLoop,E-commerce,D2C,Kolkata,Kedaara Capital,Pre-Seed,0.21,2021-03-05,2021,3
NextFlow,E-commerce,Quick Commerce,Bengaluru,"IFC, Tiger Global Management",Pre-Series A,0.86,2024-02-09,2024,2
NimbusLabs,SaaS,MarTech,Mumbai,"Prosus Ventures, Ribbit Capital",Series C,214.38,2024-06-03,2024,6
BharatPe,Consumer Electronics,Audio,Bengaluru,Peak XV,Seed,5.15,2021-10-14,2021,10
Groww,SaaS,DevTools,Chennai,"Peak XV, Tiger Global Management",Seed,0.54,2020-06-02,2020,6
BlueSpace,AgriTech,Smart Farming,Bengaluru,Omidyar Network,Series A,19.69,2023-08-31,2023,8
DriveEdge,E-commerce,D2C,Gurugram,"A91 Partners, Peak XV",Bridge,9.37,2022-04-18,2022,4
HealthAnalytics,E-commerce,Quick Commerce,Chennai,"Nexus Venture Partners, Y Combinator",Series A,8.84,2024-09-16,2024,9
DriveLoop,Enterprise,Automation,Ahmedabad,Lightspeed India,Series A,75.33,2020-07-17,2020,7
Cars24,E-commerce,Fashion,Mumbai,"Mirae Asset, Prosus Ventures",Seed,1.17,2022-03-25,2022,3
Bounce,RealEstate,Rental Tech,Chennai,"Info Edge, Y Combinator",Seed,0.64,2024-12-18,2024,12
CureFit,Consumer Electronics,Wearables,Hyderabad,"Tiger Global, Ventures India",Seed,5.42,2021-07-04,2021,7
Wakefit,E-commerce,D2C,Noida,"Lightspeed India, Tiger Global",Pre-Series A,3.54,2024-03-29,2024,3
UrbanDrive,FoodTech,Grocery,Kolkata,"Elevation Capital, Kalaari Capital",Series A,89.34,2021-04-27,2021,4
GreenMart,Mobility,Micro Mobility,Ahmedabad,"Blume Ventures, Tiger Global Management",Seed,6.25,2025-04-28,2025,4
Meesho,Retail,E-Retail,Delhi,"Info Edge, Ribbit Capital, Tiger Global Management",Pre-Seed,1.05,2020-06-09,2020,6
Swiggy,SaaS,B2B SaaS,Mumbai,"Elevation Capital, SoftBank Vision Fund",Pre-Series A,1.59,2022-03-24,2022,3
LogiRise,FinTech,NeoBank,Ahmedabad,Kalaari Capital,Series A,13.42,2022-05-09,2022,5
GreenConnect,AgriTech,Supply Chain,Mumbai,IFC,Series A,63.37,2020-07-25,2020,7
FoodSolutions,Logistics,Supply Chain,Kolkata,Blume Ventures,Series A,73.79,2022-08-26,2022,8
CoreConnect,AgriTech,Marketplace,Chennai,Prosus Ventures,Pre-Seed,1.63,2024-12-26,2024,12
Postman,Media,Content,Hyderabad,Zodius Capital,Angel,0.14,2020-02-11,2020,2
Oyo,Logistics,Supply Chain,Kolkata,Tiger Global Management,Series D,977.38,2023-11-03,2023,11
HomeFoods,Media,Content,Pune,"Blume Ventures, Ribbit Capital",Seed,7.28,2022-05-03,2022,5
Meesho,Enterprise,Security,Kolkata,Zodius Capital,Series C,417.76,2024-11-11,2024,11
NextSense_395,Media,Streaming,Chennai,"IFC, Sequoia Capital India",Seed,12.86,2024-10-09,2024,10
CloudLabs,EdTech,Test Prep,Gurugram,Kedaara Capital,Pre-Seed,1.2,2020-04-13,2020,4
SkillSolutions,Consumer Electronics,Smart Home,Chennai,"Omidyar Network, Sequoia Capital India, Y Combinator",Series B,136.34,2020-09-10,2020,9
EduTech,Consumer Electronics,Smart Home,Noida,Ventures India,Seed,6.62,2020-11-30,2020,11
Bounce,Logistics,Last Mile,Chennai,"Bessemer Venture Partners, Lightspeed India",Pre-Seed,0.95,2024-10-14,2024,10
HomeAnalytics,RealEstate,PropTech,Hyderabad,IFC,Series B,55.24,2022-11-17,2022,11
MediSpace,HealthTech,Diagnostics,Ahmedabad,Omidyar Network,Series C,1912.46,2021-04-03,2021,4
BigBasket,Media,Streaming,Hyderabad,Info Edge,Pre-Series A,2.66,2022-02-10,2022,2
GreenEdge,RealEstate,Rental Tech,Ahmedabad,Falcon Edge,Pre-Series A,5.57,2020-07-28,2020,7
NimbusWorks,AgriTech,Marketplace,Hyderabad,"Tiger Global, Tiger Global Management",Seed,1.35,2020-08-09,2020,8
NeoSense,Logistics,Fleet Management,Hyderabad,LCatterton,Seed,11.29,2022-11-25,2022,11
CoreConnect,RealEstate,PropTech,Bengaluru,LCatterton,Series B,122.09,2021-08-28,2021,8
CoreConnect,FinTech,NeoBank,Ahmedabad,"Kedaara Capital, Prosus Ventures, Ribbit Capital",Series C,170.95,2021-12-03,2021,12
FarmBox,RealEstate,Home Services,Noida,"Accel, Blume Ventures, IFC",Seed,11.71,2020-12-14,2020,12
FreshSolutions,Media,Streaming,Delhi,Prosus Ventures,Bridge,0.58,2025-01-16,2025,1
HomeAnalytics,Media,Content,Chennai,Matrix Partners India,Series C,394.14,2021-11-09,2021,11
Urban Company,Consumer Electronics,Audio,Kolkata,"Omidyar Network, Ribbit Capital",Seed,13.81,2023-07-23,2023,7
CoreSpace,Mobility,Ride Sharing,Chennai,IFC,Series A,108.91,2022-04-26,2022,4
WorkPay,EdTech,UpSkilling,Chennai,"IFC, Nexus Venture Partners",Debt,29.29,2025-01-02,2025,1
BlueTech,Consumer Electronics,Wearables,Delhi,Info Edge,Seed,4.27,2020-04-28,2020,4
FarmTech,HealthTech,Diagnostics,Kolkata,Nexus Venture Partners,Series C,559.14,2024-05-15,2024,5
DriveEdge,FoodTech,Food Delivery,Kolkata,"Lightspeed India, Y Combinator",Pre-Series A,1.63,2020-03-18,2020,3
UrbanStack,Retail,Fashion,Gurugram,"IFC, Lightspeed India, Ventures India",Pre-Seed,0.36,2020-01-09,2020,1
FreshTech,FoodTech,Grocery,Ahmedabad,Elevation Capital,Seed,4.96,2020-05-13,2020,5
Cars24,Consumer Electronics,Smart Home,Noida,"LCatterton, Tiger Global Management",Series A,63.67,2021-11-22,2021,11
DataHive,Consumer Electronics,Wearables,Gurugram,"Lightspeed India, Sequoia Capital India",Seed,7.69,2025-01-31,2025,1
LogiSense,FinTech,NeoBank,Noida,"IFC, Ribbit Capital, Sequoia Capital India",Seed,7.64,2022-01-20,2022,1
CloudSolutions,AgriTech,Supply Chain,Ahmedabad,Ribbit Capital,Debt,1.46,2023-09-17,2023,9
DataAnalytics_423,E-commerce,Fashion,Kolkata,Mirae Asset,Pre-Series A,2.59,2023-01-25,2023,1
HyperLoop,RealEstate,Rental Tech,Bengaluru,Prosus Ventures,Seed,0.51,2023-09-17,2023,9
SkillFlow,Media,Social,Chennai,"Kedaara Capital, Nexus Venture Partners",Series D,1470.88,2020-08-02,2020,8
Porter,Retail,E-Retail,Kolkata,Zodius Capital,Seed,2.12,2021-02-13,2021,2
CloudPay,FoodTech,Food Delivery,Delhi,Prosus Ventures,Pre-Seed,1.28,2022-10-13,2022,10
AgriHive,FinTech,Payments,Mumbai,"Nexus Venture Partners, Prosus Ventures",Angel,0.12,2024-09-06,2024,9
Bounce,Retail,Fashion,Mumbai,Ribbit Capital,Series B,57.41,2020-07-26,2020,7
AutoFlow,Logistics,Supply Chain,Kolkata,IFC,Seed,0.71,2024-07-23,2024,7
Cars24,SaaS,HRTech,Chennai,Sequoia Capital India,Series B,342.77,2020-07-13,2020,7
FinSense,HealthTech,Pharmacy,Pune,"Matrix Partners India, Ventures India",Angel,0.27,2025-05-10,2025,5
NimbusWorks,HealthTech,Telemedicine,Chennai,Zodius Capital,Pre-Series A,1.05,2022-07-23,2022,7
GrowthCare,RealEstate,PropTech,Mumbai,Tiger Global Management,Seed,0.56,2024-01-27,2024,1
NextSense,AgriTech,Smart Farming,Ahmedabad,Y Combinator,Series B,289.8,2021-01-06,2021,1
ClearTax,Enterprise,Automation,Delhi,LCatterton,Series A,10.11,2022-09-26,2022,9
Dailyhunt,FinTech,Payments,Hyderabad,"Falcon Edge, IFC, Ventures India",Series B,405.2,2020-01-26,2020,1
Zepto,RealEstate,Home Services,Noida,"Accel, Prosus Ventures",Series A,56.19,2023-12-05,2023,12
LogiMart,RealEstate,Rental Tech,Chennai,"LCatterton, Omidyar Network",Seed,0.56,2024-08-19,2024,8
MediSpace,HealthTech,Health Analytics,Kolkata,SoftBank Vision Fund,Growth,519.14,2020-06-02,2020,6
QuantumSolutions_441,EdTech,Coding Bootcamp,Chennai,"A91 Partners, Info Edge",Series C,2401.52,2020-06-10,2020,6
Unacademy,Enterprise,Security,Kolkata,"Accel, Kalaari Capital, Ribbit Capital",Seed,1.65,2022-10-15,2022,10
Rapido,Enterprise,Analytics,Ahmedabad,LCatterton,Bridge,1.63,2023-07-29,2023,7
CoreFlow,Consumer Electronics,Wearables,Pune,Zodius Capital,Series C,1499.8,2024-07-30,2024,7
FreshBox,AgriTech,Marketplace,Kolkata,"Accel, Info Edge, Prosus Ventures",Series B,573.65,2022-01-14,2022,1
Rapido,SaaS,HRTech,Hyderabad,"Accel, LCatterton, Mirae Asset",Series A,119.87,2022-02-04,2022,2
Freshworks,E-commerce,D2C,Ahmedabad,"Lightspeed India, Zodius Capital",Seed,6.68,2020-09-04,2020,9
FinFoods,E-commerce,Fashion,Bengaluru,"Bessemer Venture Partners, Info Edge, Omidyar Network",Angel,0.12,2024-09-11,2024,9
ClearDekho,HealthTech,Health Analytics,Bengaluru,"Peak XV, Zodius Capital",Series A,10.41,2020-04-09,2020,4
AgriHive,Retail,E-Retail,Ahmedabad,Accel,Seed,7.3,2024-07-27,2024,7
AgriSense,FoodTech,Food Delivery,Ahmedabad,Elevation Capital,Angel,0.22,2024-04-10,2024,4
DataHive,Consumer Electronics,Audio,Delhi,"A91 Partners, Falcon Edge, Zodius Capital",Pre-Series A,2.21,2023-12-04,2023,12
HyperLabs,Mobility,Micro Mobility,Gurugram,"Elevation Capital, Prosus Ventures, SoftBank Vision Fund",Seed,11.75,2023-07-02,2023,7
EduTech,Media,Streaming,Pune,A91 Partners,Series B,56.49,2024-04-07,2024,4
SkillRise,Enterprise,Automation,Hyderabad,Falcon Edge,Growth,1522.86,2022-05-15,2022,5
GrowthFlow,FinTech,Payments,Gurugram,Tiger Global Management,Seed,0.43,2024-05-27,2024,5
AutoStack,FinTech,WealthTech,Gurugram,Zodius Capital,Series C,590.6,2020-03-07,2020,3
Zomato,AgriTech,Marketplace,Noida,"A91 Partners, Bessemer Venture Partners, Matrix Partners India",Growth,481.48,2024-02-29,2024,2
SmartTech,FinTech,InsurTech,Chennai,"A91 Partners, Sequoia Capital India, SoftBank Vision Fund",Pre-Series A,1.09,2024-06-02,2024,6
AutoStack,Enterprise,Security,Gurugram,"A91 Partners, Ribbit Capital, Ventures India",Angel,0.06,2023-12-14,2023,12
BlueRise,EdTech,UpSkilling,Kolkata,Blume Ventures,Seed,4.55,2023-10-30,2023,10
NoBroker,Media,Streaming,Mumbai,A91 Partners,Pre-Series A,4.62,2022-05-27,2022,5
LogiSense,Enterprise,Security,Bengaluru,Tiger Global,Seed,3.57,2023-12-24,2023,12
AgriSense,Retail,Fashion,Ahmedabad,"A91 Partners, Bessemer Venture Partners",Series D,3803.82,2021-09-08,2021,9
Groww,Retail,Fashion,Pune,Falcon Edge,Series A,22.91,2025-05-13,2025,5
ClearDekho,HealthTech,Health Analytics,Noida,Lightspeed India,Series A,17.99,2020-07-07,2020,7
Meesho,RealEstate,Home Services,Pune,"Falcon Edge, Tiger Global Management",Pre-Series A,6.13,2021-03-23,2021,3
MediSpace,SaaS,MarTech,Gurugram,"Matrix Partners India, Tiger Global",Angel,0.08,2023-06-10,2023,6
AgriSense,Retail,E-Retail,Chennai,Sequoia Capital India,Seed,14.49,2024-01-22,2024,1
NimbusWorks,Mobility,EV,Kolkata,"Falcon Edge, Lightspeed India, Peak XV",Pre-Seed,0.17,2025-01-13,2025,1
Dream11,Retail,Fashion,Noida,Prosus Ventures,Pre-Seed,1.55,2020-05-14,2020,5
Meesho,Enterprise,Automation,Chennai,"IFC, Zodius Capital",Series D,458.36,2021-02-25,2021,2
DriveEdge,E-commerce,Marketplace,Bengaluru,Accel,Series A,92.71,2021-11-10,2021,11
Udaan,HealthTech,Pharmacy,Noida,LCatterton,Seed,2.9,2024-08-09,2024,8
Freshworks,FoodTech,Food Delivery,Chennai,"Falcon Edge, Prosus Ventures",Series A,122.15,2020-02-04,2020,2
Byju's,Retail,Fashion,Ahmedabad,Y Combinator,Pre-Seed,0.2,2024-10-03,2024,10
AeroAnalytics,Retail,Fashion,Hyderabad,"Y Combinator, Zodius Capital",Series A,37.19,2021-07-30,2021,7
ClearTax,Consumer Electronics,Audio,Noida,"Bessemer Venture Partners, IFC",Seed,14.82,2024-03-09,2024,3
Urban Company,RealEstate,PropTech,Hyderabad,"Peak XV, Ribbit Capital, Sequoia Capital India",Series B,176.98,2025-02-15,2025,2
SmartCare,FinTech,NeoBank,Ahmedabad,Elevation Capital,Pre-Series A,3.54,2023-01-26,2023,1
FoodSolutions,RealEstate,Rental Tech,Delhi,"Lightspeed India, Zodius Capital",Seed,5.4,2021-03-28,2021,3
